ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
820,keemiline puitmass,chemi-mechanical pulp ,chemischer Holzstoff n,химическая древесная масса ж,kemimekaaninen massa,"Puitmass saagisega 80-90%, mille saamisel on lisaks mehaanilisele töötlusele energiakulu vähendamiseks ja omaduste parandamiseks kasutatud kemikaale ",,
821,keemilised värvusrikked,oxidation stains,chemische Verfärbungen f pl,химическая окраска ж,puun kemiallinen värimuutos,"Värskelt raiutud puidu ebanormaalne, keemilise või bioloogilise tekkega ühtlane värvus, enamastiseotud parkainete oksüdatsiooniga",,
822,keerdlusikpuur,worm hob,Schneckenlöffelbohrer m,сверло шнеково-ложечное,"kieräjyrsin, valssijyrsin, lieriöjyrsin",Silindrilise otsaga lusikpuurist kujundatud laastusoonega puur,,
823,keerdumus,"twist, cast",Verdrehung f,крыловатость ж,"kierto, vääntö",Puidu pikisuunaline spiraalne deformatsioon,,
824,keerissorter,centrifugal cleaner,Zentrifugalsortierer m,вихревая сортировка ж,pyörrepuhdistin,Kiumassist raskemaid osakesi tsentrifugaaljõu toimel eraldav sorter,,
825,keermesamm,pitch of thread,Gewindeteilung f,шаг резьбы,hammasjako,Kahe naaberkeermeniidi vahekaugus teljesuunas,,
826,keet aurufaasis,vapour phase cook,Dampfohasenkochung f,парогазовая варка ж,höyryfaasikeitto,"Keeduprotsess, mille puhul katla ülemine osa ei ole täidetud keeduvedelikuga",,
827,keevkihireaktor,fluidized bed reactor,Wirbelschictreaktor m,реактор м кипящего слоя,leijukerrosreaktori,"Seade, milles toimub pürolüüs peenestatud orgaanilise materjali intensiivsel segamisel hõljuvas olekus",,
828,kelaat,chelate,Chelat n,хелат м,kelaatti,Metalli tsükliline kompleksühend,,
829,kelmemoodusti,"coating binder, film  former",Filmbildner m,плёнкообразователь м,kalvonmuodostusaine,"Laki või värvi põhikomponent, mis ühendab kõik komponendid üheks tervikuks ja tagab pinnakatte adhesiooni aluspinnaga",,
830,kemikaalide regenereerimine,chemicals recovery,Chemikalienrückgewinnung f,регенерация ж химикатов,kemikaalien talteenotto,Kasutatud kemikaalide eraldamine tootmisjäägist ja nende kasutuskõlblikkuse taastamine,,
831,keps,connecting rod,"Pleuel n, Gatterstelze f",шатун,kiertokanki,"Väntmehhanismi detail, mis edastab saeraami, kolvi või ristpea liikumise väntvõllile",,
832,kepsusõrm,crank pin,Kurbelzapfen m,палец пильной рамки,kammen tappi,Kepsu ühenduselement saeraamiga,,
833,kerge klappvoodi,"camp bed, camp bedstead",Klappbett n,"лёгкая складная кровать, раскладушка",kenttävuode,Kerge teisaldatav kokkuklapitav voodi,,
834,kerge klappvoodi,"camp bed, camp bedstead",Klappbett n,"лёгкая складная кровать, раскладушка",kenttävuode,Kerge teisaldatav kokkuklapitav voodi,,
835,kergkärgplaat (dendrolight),"dendrolight, lightweight wood panel",Leichtbauplatte f,,,"Puidu soonimise, kokkuliimimise ja hilisema lahtilõikuse tulemusena moodustunud kerge puitkärgmaterjal",,
836,kerkehoidik (ketassael),"edging shoe, clamping shoe","Niederhalter m, Klemmschuh m",прижимное приспособление ср,,Ketassae abiseade saetava materjali üleskerkimise vältimiseks,,
837,keskkiht,"core, medium",Mittelschicht f,средний слой м,keskikerros,"Plaadi keskmine kiht, mis on üldiselt paksem teistest kihtidest ja nähtav plaadi servpindadel ning koosnebkõrvuti paiknevatest kokkuliimitud või kokkuliimimata puitribidest, otspuidust klotsidest või puitlattidestmuust puitmaterjalistmuust lehtmaterjalist",,
838,keskmine,medium,mittlere,средний,"keski-, keskitasoinen","1. Ruumiliselt millegi keskel või vahel paiknev  2.Omadustelt või näitajatelt äärmuste vahel paiknev 3. Tase, mille vahel uuritava tunnuse väärtus kõigub",,
839,keskmise kvaliteediga saematerjal,middlings,Mittelqualitätsschnittholz n,пиломатериал  м среднего качества,keskilaatuinen sahatavara,Keskmise sordilisusega saematerjal,,
840,"keskmise tihedusega puitkiudplaat, MDF-plaat",medium density fiberboard,mitteldichte Faserplatte f,древесноволокнистая плита ж средней плотности,"MDF,  kuitulevy",Enamasti kuivmenetlusel toodetav puitkiudplaat. Erinevate liikide tihedus alates 450 kg/m3 kuni ³ 900 kg/m3,,
841,keskraampuu,cross rail,"mittlere Rahmenholz n, Querfries m",средник,poikkikaide,raami keskel paiknev konstruktsioonielement,,
842,kest,"jacket, skin","Schale f, Hülle f","шелуха ж, оболочка ж","kuori, kalvo, hylsi","Väljastpoolt kattev kiht, ümbriskiht",,
843,kestendamine,chipping,Schelfern n,шелушение ср,,,,
844,ketasaagide tasapinnalisus,flatness of circular saws,Ebenheit f des Kreissägeblatts,плоскостность циркульных пил,pyörösahan tasomaisuus,"Ketassaagide kohalike ja üldiste defektide puudumine, mõõdetuna kaliibriga",,
845,ketasfrees,disc milling cutter,Schlitzscheibe f,фреза дисковая,kiekkojyrsin,Kettakujuline tervik- või koostusfrees soonte ja lühikeste tapivahede lõikamiseks,,
846,"ketashakkur, ketasraiemasin",disc chipper,Scheibenhackmaschine f,дисковая рубительная машина ж,laikkahakkuri,"Raiemasin, milles laastu lõigatakse pöörlevate nugadega puidu kiududega ristisuunas ",,
847,ketaslaastur,disc chipper,Scheibenzerspaner m,дисковый стружечный станок м,laikkahakkuri,"Laastur, milles laastu lõigatakse pöörlevate nugadega puidu  kiududega paralleelsuunas",,
848,ketaslihvmasin,disk sanding machine,"Planschleifmaschine f, Scheibenschleifmaschine f",дисковый шлифовальный станок,laikkahiomakone,"Lihvmasin puitdetailide lihvimiseks, kus lihvmaterjal on kinnitatud pöörleva ketta külgpinnale",,
849,ketaslõikur,circular cutter,,резак дисковой,,"Kanga , vatiini või porolooni elektriline lõikeriist",,
850,ketasnuga,"circular knife, disc blade, disc colter, rolling colter, slitter disk",Scheibenmesser n,дисковый нож м,kiekkoleikkuri,Kettekujuline nuga õhukeste materjalide (nt paber) lõikamiseks,,
851,ketasrafinöör ® ketasveski,disc refiner,Scheibenmühle f,дисковый рафинёр м,levyjauhin,"Jahvatusseade, milles jahvatusprotsess toimub pöörlevatel ketastel paikneva reljeefse jahvatusgarnituuri toimel",,
852,ketasraiemasin,disc chipper,Scheibenhackmaschine f,дисковая рубительная машина ж,"kiekkohakkuri , hakkuri","Raiemasin, milles laastu lõikavad noad paiknevad pöörlevas massiivses teraskettas",,
853,ketasrööbits,wheel marking gauge,Streichmaß n mit Reißscheibe,рейсмус с диском,pyöräraappa,Karastatud terasest kettakujulise tööorganiga rööbits,,
854,"ketassaag, ketassaepink, ketassaekaater","circular saw, disk saw, rotary saw, buzz saw, radial saw","Kreissäge f, Kreissägemaschine f",круглопильный станок,pyörösaha,Oma töös ketassaagi kasutav saagmasin,,
855,"ketastoitu, taldriktoitur",disk feed,Scheibenspeiser n,дисковый питатель м,"levysyötin, levysiroittelu",Etteandeseade peenestatud materjali edastamiseks pöörlevalt ketasaluselt,,
856,ketasveski,disc refiner,Scheibenmühle f,дисковая мельница ж,levyjauhin,"Tselluloosi jahvatusseade, mille tööorganiks on reguleeritava vahekaugusega reljeefse pinnaga kettad",,
857,kettdefibröör,chain grinder,Kettenschleifer n,цепной дефибрер м,ketjuhiomakone,"Defibröör, milles puidu surumine vastu defibröörikivi toimub kettidega",,
858,kettfreesimine,chain mortising,Kettenfräsen n,цепнодолбение,ketjutalttaus,Freesketiga töötlemisviis puitdetailides nelinurksete avade lõikamiseks,,
859,kettfreesmasin,"chain mortising machine, chain mortiser",Kettenfräsmaschine f,цепнодолбежный станок,ketjutalttakone,Masin nelinurkse ristlõikeba tapiavade töötlemiseks freesketiga,,
860,"kettkoorel, kettkoorimismasin",chain barker,Kettenentrinder m,цепной окорочный станок м,ketjukuorimakone,"Punkerkoorimismasin, mille põhjaks on mitmeketiline kettkonveier p",,
861,kettkoorimismasin,chain barker,Kettenentrindungsmaschine f,цепная окорочная машина ж,ketjukuorimakone,"Punkerkoorimismasin, mille põhjaks on mitmeketiline kettkonveier",,
862,kettsaagmasin,"chain saw, link saw, tooth saw",Kettensägemaschine f,"цепная моторная пила, станок с цепным пильным аппаратом","ketjusaha, moottorisaha",Saeketti lõikeriistana kasutav saagimismasin,,
863,kettsae juhik,"chain blade, cutter bar",Schiene f,шина (пильная),teräketjuin ohjain,"Ketsae osa, millel jookseb saekett",,
864,ketttransportöör,chain conveyor,Kettenförderer m,цепной транспортёр, цепной конвейер,ketjukuljetin,Kettkonveier palkide pikisuunas transportimiseks, konveier laudade ristisuunas transportimiseks
865,kettülekanne,"chain drive, chain transmission","Kettengetriebe n, Kettentrieb m",передача цепная,ketjuvälitys,Ketist ja ketirattastest koosnev mehhanism pöörlemise ülekandmiseks,,
866,kevadpuit,"springwood, early wood",Frühholz n,"ранняя древесина ж, весенняя древесина ж",kevätpuu,"Aastarõnga suuremarakuline, kevadel moodustunud osa",,
867,kida,"burr on face of tooth, flash",Grat m,"заусеница, заусенец",jäyste,Tagasipöördunud metalliriba lõikeserva lähedal pärast selle teritamist,,
868,kidasid eemaldama,deburr,entgraten,"снимать заусеницы, зачищать",jäysteiden poisto,Pärast teritamist lõikeriista lõikeserva tagasipöördunud osade - kidade - eemaldamine,,
869,kihiline puitmaterjal,laminate,"Schichtholz n, Holzlaminat n",слоистый древесный материал м,laminaatti,Puidukihtidest kokkuliimitud materjal,,
870,kihiline puitplast,"wood laminate, pressboard, high density plywood","Laminat n, Holzlaminat n",древесный слоистый пластик м,"kerroslevy, vaneri","Vineerisarnane kõrgendatud omadustega materjal, mis on saadud fenoolvaigu piirituslahusega läbiimmutatud spoonilehtedest kõrgsurvepressimisega",,
871,kihilise ehitusega,sandwich,"schichtig, geschichtet",слоистого строения,kerrosrakenteinen,Kihtidest koosnev,,
872,kihilisus,lamination,Schichtigkeit f,слоистость ж,kerroksellisuus,Kihtidest koosnemine,,
873,kiht,"layer, ply, strand, tier",Schicht f,слой м,kerros,"Millegi peal, all või vahel asetsev suhteliselt ühtlase koostise või omadustega ainehulk, mille paksus on hrl muudest mõõtmetest väiksem",,
874,kihtideks lõhestumine,lamination,Delaminierung f,расслоение ср,delaminointi,Kihilise materjali lahutumine kihtideks,,
875,kihtidest koostama,laminate,aus Schichten/Lamellen zusammenstellen,составить из слоев,laminointi,Kihtmaterjali moodustamine kihtidest,,
876,kihtidevaheline adhesioon,intercoat adhesion,Adhäsion f zwischen Schichten,межслойная адгезия ж,adheesio,Kihte siduvad jõud,,
877,kihtpuit,plywood,Sperrholz n,слоистая древесина ж,"kerroslevy, vaneri","Kihtide kogumist koosnev puitplaat, mille omavahel seotud kõrvutiasetsevates kihtides  on  puidukiudude suund tavaliselt risti",,
878,kiiktool,"rocking chair, rocker, digestive chair",Schaukelstuhl m.,Кресло-качалка,keinutuoli,"Kaarjalt painutatud jalgadega iste, millel saab kiikuda.",,
879,kiil,wedge,Keil m,клин,kiila,"Ühe või kahe kaldpinnalise töötahuga tööriist seade- ja reguleerimisoperatsioonidel, survestamisel ning lahtivõetavate liidete detailina",,
880,kiiljätkseotis,wedged tenon,Keilzapfenverbindung f,клиновидное соединение по длине,kiilatappi,"Puidu jätkseotis pikkuses, kus ühe detaili ots on kujundatud teravnurkse kiilu kujulise tapikeelena  ja teine sellele vastava tapipesana",,
881,kiilkinnitus,clamping wedge system,Befestigung f mit Druckkeil,клиновый зажим,kiilakiinnitys,Noa kinnitus noavõlli või freesi survekiiluga,,
882,kiilkinnitusega laud,,Wagentisch m,стол с клиновым зажимом,,"Laud, ka tisleripink, mille lahtivõetav alusraam koostatakse kiilühenduste abil",,
883,kiilraud,wedge,Keil m,клин,kiilarauta,Kiilja otsaga tööriist naelte väljalöömiseks,,
884,kiilrihmülekanne,"V-belt transmission, V-belt drive",Keilriemenantrieb m,клиноременная передача,kiilahihnavälitys,Vaata - rihmülekanne,,
885,kiilseotis,cottered joint,Keilverbindung f,клиновое соединение,kiilaliitos,Lahtivõetav kiiludega kinnitatav puittappseotis,,
886,kiilutatud/kiilutud rööptapp,wedged pinned mortise-and-tenon joint,verkeilter Fingerzapfen m,прямой шип склином,kiilatappi,kiilude abil tihendatud (tugevdatud rööp(keel)tappühendus,,
887,kiirkinnituspadrun,"fast-action chuck, quick-action chuck",Schnellfutter n,быстрозажимный патрон,pikaistukka,Võtmeta kinnitatav padrun,,
888,kiirklamber,quick-grip (ratchet) cramp (clamp),Schnellzwinge f,струбцина быстрозажимная?,pikakiinnitin,Spetsiaalse mehhanismiga klamber detailide kiirkinnituseks,,
889,kiirkuivav pinnakate,quick drying coating,schnelltrocknende Decklage f,быстровысыхающеепокрытие  ср,nopeasti kuivuva pinnoite,Suhteliselt lühikese kõvenemisajaga pinnakate,,
890,kiirkuivav õlivärv,sharp paint,schnelltrocknende Ölfarbe f,быстровысыхающаямаслянная краска ж,nopeasti kuivuva öljymaali,Suhteliselt lühikese kõvenemisajaga õlivärv,,
891,kiirlõiketeras,"high-speed steel (HSS, HS)",Schnellschnittstahl m,сталь ж быстрорежущая,pikateräs,"Kõrgelt legeeritud, kulumiskindel ja termokindel teras lõikeriistade valmistamiseks",,
892,kile,"sheeting?, film",Film m,плёнка ж,kalvo (kelmu),Kahe vaba pinnaga õhuke materjal,,
893,kileliim,glue film,Filmleim m,пленочный клей,liimakalvo,Antiadhesioonpaberiga ülekantev liimikile,,
894,kilp,"panel, plate",Paneel n,"щит м, панель м","paneeli, levy","1. Plaadi tükeldamisel saadud toode 2. Alusplaat või raamistik, millele on kinnitatud mitmesugune juhtimis-, lülitus vm aparatuur",,
895,kilpmööbel,panel furniture,Plattenmöbel n,мебель щитовая ж,levyrakenteinen huonekalu,Kilpelementidest mahutusmööbel,,
896,kilpparkett,panel parquet,Tafelparkett n,паркет м щитовый/наборный,paneeli parketti,Kilp-või plankalusel parketitahvlid,,
897,kilptoorik,panel blank,Plattenrohling m,заготовка щитовая,levyaihio,Plaatmaterjalist toorik,,
898,kimp,bundle,Bündel n,"связка ж, пучок м","kimppu, nippu",1. Hrl keskelt või otsast kokku seotud väiksem hulk ühetaolisi esemeid 2. väike koorem,,
899,kinari-nomi,kinari-nomi,kinari-nomi,кинари-номи,kinari-nomi,Jaapani ava puhastamise peitel,,
900,kinemaatikaskeem,kinematic scheme,kinematische Schema f,схема ж кинематическая,kinemaattinen järjestelmän,"Skeem, millel on leppemärkidega kujutatud masina või mehhanismi elementide ühendused ja seosed",,
901,kinemaatiline kohtumisnurk,angle of attack,Vorschubrichtungswinkel m,"угол подачи, кинематический угол встречи",kinemaattinen kohtauskulma,Nurk etteande ja lõikekiiruse vektorite vahel,,
902,kinemaatiline laine,knife marks,Messerschläge pl,"кинематическая волна, следы резания","kinemaattinen aalto, höyläysaalto",Pöörleva lõikeriistaga freesimisel tekkiv laineline pind,,
903,kinnine lõikamine,closed cutting,Geschlossenschneiden n,резание закрытое,?,"Lõikamine juhul, kui peale esilõikeserva osalevad ka külglõikeservad, töödeldav pind on lõikurist laiem",,
904,kinniti,fastener,Befestigungsmittel n,крепёжная деталь ж,,Puidust konstruktsioonielementide kinnitusvahend,,
905,kinnitushaak,fastener,Sonderbankhaken m,зажим скрепляющий,,Vahend töödeldava tooriku kinnitamiseks laua tööplaadile,,
906,kinnitusklamber,fastening staple,Befestigungsklammer f,"скрепка, скоба",niitti,Puitdetailide või kanga erineva pikkuse ja jämedusega  U-kujulised kinnitusvahendid,,
907,kinnitusklots,spring clamp,Nutklotz m,сухарь м зажимный,,Täispuidust laua- või istmeplaadi paisumisy ja kahanemist,,
908,kinnitusliist,fixing fillet,Befestigungleiste f,штапик,kiinnityslista,"Liist tahvli, klaasi vms kinnitamiseks valtsi",,
909,"kinnitusõmblus, läbivõmblus ",,Befestigungsnaht f,простёжка,läpikotainen tikki,Õmblus põhikihi täitematerjali kinnitamiseks vedrude katteriide ja põhikihi täidisekatteriide vahele,,
910,kirikumööbel,church furniture,Kirchenmöbel n,церковная мебель ж,kirkko kaluste,"Kirikutes kasutatavad, tavaliselt pikad kaldlauaga pingid",,
911,kirimen-kanna,kirimen-kanna,kirimen-kanna,киримен-канна,kirimen-kanna,Jaapani faasihöövel,,
912,kirjumädanik,doatiness,bunte Fäule f,пестрая гниль  ж,lahoamisen johdosta tummunut,"Mädanik, mida iseloomustavad puidu kõvaduse vähenemine ja kirju värvus",,
913,kirjutuslaua karkass,cabinet leg,Schreibtischkarkasse f,каркас письменного стола,kirjoituspöytän  jalusta,Kirjutuslaua tugikonstruktsioon,,
914,kirjutuslaud,"desk, writing table, writing bureau",Sshreibtisch m.,письменный стол,kirjoituspöytä,"Kirjatööde teostamiseks sobiv, paljude laegastega mööbliese",,
915,kirjutuspaber,writing paper,Schreibpapier n,писчая бумага ж,kirjoituspaperi,Pleegitatud tselluloosist valmistatud hea liiminguga paber,,
916,kirjutuspult,secretaire,Schreibpult n.,пюпитр,kirjoituslipasto,Ühepoolse kaldega kirjutusalus,,
917,kirsipuu -hapu,sour cherry,Kirschbaum m,вишня обыкновенная ж,kirsikkapuu,"Prunus cerasus- hapu kirsipuu ja Prunus  avium - magus kirsipuu  .Puitu kasutatakse tisleritoodete valmistamisel, toorainana vineeritööstuses ja treitöödel. ",,
918,kirst,chest,Truhe f, Möbelkasten m,сундук,"kirstu, arkku","Suur, kumera kane ja madalate jalgadega mahutusmööbli ese",
919,kirst-iste,chest seat,Truhenbank f,сундук‐скамья м,,"Iste (tavaliselt pink), mis omab panipaika esemete hoidmiseks",,
920,kirves,"ax, hatchet","Axt f, Beil n",топор м,kirves,"Varrega tööriist puidu raiumiseks, tahumiseks, lõhkumiseks vm töödeks",,
921,kirvevars,handle,"Axtstiel m, Beilstiel m",топорище ср,kirveenvarsi,Kirve hoidmiseks ettenähtud kirveosa,,
922,kitkumiskindlus,picking resistance,Rupffestigkeit,сопротивление ср выдёргиванию,nukkauslujuus,Vastupanu paberi pinnaosakeste eraldamisele,,
923,kitsaslõhe,check,Engriss m,сомкнутая трещина ж,,"Tavaliselt kuivamiskahanemisest põhjustatud kitsas, lühike ja mittesügav lõhe",,
924,kitsendus,stop,Einschnürung f,"сжатие ср, сужение ср",ohentuma,"Tüve läbimõõdu järsk vähenemine, näiteks jämeda oksa juures",,
925,kittimine,ca(u)lking,Verkitten n,"замазываниеб, замазка, шпатлевание","kittaus, kittaaminen",Puidu pinna lõhede jm ebakorrapärasuste täitmine puidukitiga,,
926,kiud,"fibre, fiber, grain",Faser f,волокно ср,kuitu,"Pikk kitsas rakk (või rakukimp), mis on puidu põhikoostisosaks",,
927,kiudaine taaskasutus,"fibre reclaiming, fibre recycling",Faserstoff Rückgewinnung f,повторное использование волокна,kuitu talteenotto,Tehnoloogilises protsessis tekkinud kiudaine jääkide kogumine ja protsessi tagasi suunamine,,
928,kiudude kaldenurk,grain angle,Faserwinkel m,Угол волокон м,vinosyisyyskulma,Kiudude orientatsiooni pikisuunast kõrvalekalde nurk,,
929,kiudude kalle,"sloping grain, cross grain, diagonal grain, oblique grain, roey grain","Faserabweichung f, Faserneigung f",наклон волокон м,vinosyisyys,Kiudude orientatsiooni kõrvalekalle pikisuunast,,
930,kiudude kergitamine,grain raising,Faseraufrichtung f,подняте ворса,syiden kohoaminen,Eeltöötlus veepõhise viimistluse puhul,,
931,kiudude lahtirebestumine ,tear out,Faser Ausreissen n,отрыв м волокон,,Lõikeriista toorikust väljumisel tekkinud kiudude lahtirebenemine,,
932,kiudude paiknemine pikisuunas,long grain,Faserlängsverlauf m,продольная ориентация ж волокон,pituussuuntaiset kuidut,Kiudude orientatsioon valdavalt puittoote pikitelje suunas,,
933,kiudude suund,fibre alignement,"Faserverlauf m, Faserrichtung f",направление ср волокон,"syyt, syiden suunta",Kiudude paiknemise peamine suund,,
934,kiududevaheline side,fibre bonding,Faserverband m,межволоконная связь ж,kuitusidos,Kiudude seostumine vesiniksidemetega ja osaliselt van der Vaalsi jõududega,,
935,kiududevaheline side,fibre bonding,Faserbindung f,межволоконная свяэь ж,kuitusidos,"Kiududevaheline sidestus, mis põhineb peamiselt vesiniksidemetel",,
936,kiududevaheliste sidemete tugevus,fibre bonding strength,innere Faserbindekraft f,прочность межволоконных свяэей,sidoslujuus,Kiududevaheliste vesiniksidemete tugevus,,
937,kiufraktsioon,fibre fraction,Faserfraktion f,фракция ж волокон,kuitufraktio,Lähedaste mõõtmetega kiudude kogum kiumassis,,
938,kiukimp,fibre bundle,"Faserstippe f, Faserbündel",волокнистый пучок м,kuitukimppu,Omavahel nõrgalt seostunud kiud kiumassis,,
939,kiuline struktuur,fibre pattern,faserige Struktur f,волокнистая структура ж,kuiturakenne,"Struktuur, milles võib eristada kiudude paiknemist",,
940,"kiupüüdur, massipüüdur","saveall, fibre recovery unit",Stoffänger m,массоловушка ж,kuitujentalteenottolaite,Sadestuse või flotatsiooni põhimõttel töötav seade heitveest kiudaine eraldamiseks,,
941,kiustamine,"defibering, defibration","Zerfaserung f, Defibrierung f",дефибрирование с,kuidutus,Puidu või puiduosakeste lahutamine kiududeks,,
942,kiususpensioon,fiber suspension,Fasersuspension f,волокнистая суспензия ж,kuitususpensio,Veest ja vees heljuvatest kiududest koosnev disperne süsteem,,
943,kiusuund,grain,Faserrichtung f  ,нaпpaвлeниe вoлoкoн ,,Kiudude paiknemise peamine suund puidus,,
944,kiuvaiba moodustumine,matting,"Faservliesbildung f,Faserteppichbildung f",образование ср волокнистого ковра,kuiturainan muodostaminen,Kiudude ladestumine kiumassist valamismasina sõelale,,
945,kiuvõrk,fibre network,Fasernetzwerk n,волокнистая сеть ж,kuituverkko,Kiumassis moodustunud nõrgalt sidestunud kiudude kogum,,
946,kivistunud rakud,suberised cells,versteinernde Zellen pl,каменистые клетки мн,,Hulknurkse kujuga mehaaniliselt vastupidavad ligniinirikka seinaga koore korbakihi rakud,,
947,klamber,staple,Klammer f,скоба,"pidike, kiinnitin","Kahteravikuline kinnituselement mööbliriide, vineeri, puitkiudplaadi ja puitdetailide kinnitamiseks",,
948,klamberkinniti,"holddown, holdfast",Werkstück-niederhalter m,струбцина,"kiinnike, kiinnitin",Kruvipingutiga klambertüüpi tooriku kinnituselement tööpingile,,
949,"klamberpitsik, liimimisnäpid",spring clamp,Leimklammer m,губки зажимные,,Lihtsalt käsitsetav klambritaoline liimimissuruti,,
950,klambripüstol,stapling gun,Klammerpistole f,пистолет для забивания скоб,nitoja,Tööriist klambrite paigaldamiseks,,
951,"klambrisõrg, klambrivinn",staple remover,,"скрепкодер, скобадёр","haararauta, sinkelirauta, niitinnostaja",Tööriist kinnitusklambrite välja tõmbamiseks,,
952,klapihing,flap hinge,Angel für Klapptür n,петля для откидной дверцы,lehtisarana,klappuksel kasutatav hing,,
953,klapihoidik,drop down door support,Klappenstütze f,фиксатор откидного дверца,,Klappust avatud asendis hoidev furnituur,,
954,klapitav lastevoodi,folding cot,Kinderklappbett n,складная детская кровать,pinnasänky,"Lastevoodi, mida on võimalik transportimiseks lahti võtta ja kokku panna",,
955,klapitav lastevoodi,folding cot,Kinderklappbett n,складная детская кровать,pinnasänky,"Lastevoodi, mida on võimalik transportimiseks lahti võtta ja kokku panna",,
956,klapitava seljatoega diivanvoodi,jackknife sofa bed,Sofabett mit klapbarem Rücken,диван-кровать с откидной спинкой,aukivedettävä sohvavuode,Allalastava seljatoega magamisdiivan,,
957,klapitava seljatoega diivanvoodi,jackknife sofa bed,Sofabett mit klapbarem Rücken,диван-кровать с откидной спинкой,aukivedettävä sohvavuode,Allalastava seljatoega magamisdiivan,,
958,"klapphöövel, topelthöövel","double plane, jack plane",Doppelhobel m,двойной рубанок,kaksoishöylä,Rauaklapiga varustatud höövel sileda pinna ja õhukese laastu saamiseks,,
959,klapplaud,clap table,Klapptisch m,складной стол,"klahvipöytä, pulpetti",Kokkupandava plaadiga laud,,
960,klappmehhanism,folding fitting,Klappbeschlag m,раскладной механизм,sarana,Mööbli osi üles-alla liigutav mehanism,,
961,klapptool,folding chair,Klappstuhl m,складной стул,taittuva tuoli,Kokkupandav tool,,
962,klappuks,flap,"Klapptür f, Klappe f",дверь откидная,"läppäluukku, kahden puolen aukeneva ovi",Rõhtteljel pööratav uks,,
963,klappvoodi,foldaway bed,Klappbett n,раскладная кровать,"telttavuode/sänky, varavuode",Päevaks üles (seinale) pööratav voodi,,
964,klappvoodi,foldaway bed,Klappbett n,раскладная кровать,"telttavuode/sänky, varavuode",Päevaks üles (seinale) pööratav voodi,,
965,klassitsism,classicism,Klassizismus m,классицизм,klassinen tyyli,"Mööblistiil aastatel 1775-1830, eristatakse direktooriumistiili ja ampiiri ,mõjutatud ,antiikkreeka ja rooma ehituskunstist, valitsevad sirged jooned ja ilustused",,
966,kleepuv aine,sticker,klebriger Stoff m,липкое вещество ср,tahmea,Millegi külge kinni hakkav aine,,
967,kleepuvus,"tackiness, tack",Klebrigkeit f,"липкость ж, клейкость ж","tarttuvuus, tartuntakyky, tahmeus",Omadus millegi külge kinni hakata,,
968,klemmkinnitus,screw clamping system,Schraubspannung f,клеммовый зажим,"pidike, kiinnitin",Noa kinnitus noavõlli või freesi kinnituspilu deformeerimise teel pingutuskruviga,,
969,kliimaseade,air conditioner,Klimaanlage f,кондиционер м,ilmastointilaite,Seade etteantud keskkonnatingimuste loomiseks,,
970,"klips, vastasnööp ",,Gegenknopf m,контрпуговица ,nappivastus,"Peenike plastmassist pulk, mis ankurdab nööpi  polstri tagant",,
971,kloordioksiid,chlorine dioxyde,Chlordioxid n,двуокись  ж хлора,klooridioksidi,Tugeva oksüdeerijana eriti efektiivne tselluloosi pleegitusreagent,,
972,kloorivaba pleegitus ,chlorine-free bleaching,chlorfreie Bleiche f,отбелка ж без хлора,kloorivapaa valkaisu,Pleegitus ilma kloori või klooriühenditeta,,
973,kloorkummvärv,chlorinated rubber paint,Chlorgummifarbe f,краска на базе хлорированного каучука ж,kloorikautsumaali,Värv kloorkautšuki baasil,,
974,kloororgaanilised ühendid,organochlorine compounds,chlororganische Verbindungen pl,хлорорганические соединения мн,,Tselluloosi pleegitamisel klooriga moodustuvad toksilised keemilised ühendid,,
975,kloreerimine,chlorination,Chlorierung f,хлорирование ср,klooraus,"Mitmeastmelise pleegitustehnoloogia etapp, mille ülesandeks on ligniini lahustamine klooriga reageerimise tulemusel",,
976,klorofüll,chlorophyll,"Chlorophyll n, Blattgrün n",хлорофилл,"klorofylli, lehtivihreä","Kõrgemate taimede rohelistes osades leiduv roheline pigment, mis on fotosünteesi katalüsaatoriks",,
977,klotstõmmits,block fitting,Zugbolzen mit Klotzen m,стяжка с колодками,levylukitushela,Klotsidega ühendusvahend plaatide nurkühenduseks/ vahend plaatide ühendamiseks,,
978,koalestsents,coalescence,,коалесценция ж,,Vesipõhjaliste pinnakatete õlifaasi osakeste koagulatsioon,,
979,kobestamine,shredding,Auflockerung f,взрыхление ,"iskumurskaus, revintä, repeäminen",Kobedamaks (kohevamaks) tegemine,,
980,kobestamine,shredding,Auflockerung f,рвзрыхление ср,"iskumurskaus, revintä, repeäminen",Kobedamaks (kohevamaks) tegemine,,
981,"kodumööbel, olmemööbel","domestic furniture, household furniture, residential furniture",Heimmöbel n,бытовая мебель,"huonekalut, kalusteet",Inimeste eluruumide sisustamiseks kasutatav mööbel,,
982,koduväline mööbel,non-domestic furniture,nicht-wohnbereiche Möbel n,небытовая мебель ж,kotiulkoinen huonekalu,Väljaspool kodu kasutatav mööbel,,
983,kogumisestakaad,storage deck,Sammelbrücke f,сборочная эстакада ж,varastopaikka,Sillataoline ehitis puitmaterjali kogumiseks enne järgnevale töötlusoperatsioonile suunamist,,
984,kohevus,bulk,"Bauschigkeit f, Voluminosität f",объёмистость ж,koheus,Paberi tiheduse pöördväärtus,,
